DATA OF SHELL PLATING WITH RESPECT TO GLOBAL STRENGTH (INERTIA AROUND CENTROID) Group 22; Version 7.0
Mean shell thickness [mm],12
Number of rows, 22
X [m],OUTLINE LENGTH [m],CROSS SECTION AREA OF SHELL PLATING [m2],CENTROID_X[m],CENTROID_Y[m],CENTROID_Z[m],INERTIA_X[m4],INERTIA_Y[m4],INERTIA_Z[m4],Z_Keel[m],Z_DECK[m],
-7.2,59.2917,0.7116,-7.2, -0.0001, 11.6364,54.1135, 7.4263, 46.6872,7.862,14.988
-1.4857,63.2538,0.7591,-1.4857, -0.0001, 10.7469,65.668, 12.0199, 53.6481,6.1094,14.988
4.2286,67.0128,0.8042,4.2286, 0, 9.8948,77.7867, 17.5469, 60.2399,4.4477,14.988
9.9429,70.4968,0.846,9.9429, -0.0002, 9.0997,90.0757, 23.7429, 66.3328,2.9096,14.988
15.6571,73.5762,0.8829,15.6571, 0, 8.3933,101.8276, 30.1191, 71.7086,1.5526,14.988
21.3714,75.9833,0.9118,21.3714, -0.0001, 7.8398,111.6185, 35.7119, 75.9066,0.4946,14.988
27.0857,77.0966,0.9252,27.0857, -0.001, 7.5826,116.322, 38.4833, 77.8387,0.0065,14.988
32.8,77.1115,0.9254,32.8, 0, 7.5796,116.3871, 38.5202, 77.8669,0,14.988
38.5143,77.1115,0.9254,38.5143, 0, 7.5796,116.3871, 38.5202, 77.8669,0,14.988
44.2286,77.1115,0.9254,44.2286, 0, 7.5796,116.3871, 38.5202, 77.8669,0,14.988
49.9429,77.1115,0.9254,49.9429, 0, 7.5796,116.3871, 38.5202, 77.8669,0,14.988
55.6571,77.1115,0.9254,55.6571, 0, 7.5796,116.3871, 38.5202, 77.8669,0,14.988
61.3714,77.1115,0.9254,61.3714, 0, 7.5796,116.3871, 38.5202, 77.8669,0,14.988
67.0857,77.1115,0.9254,67.0857, 0, 7.5796,116.3871, 38.5202, 77.8669,0,14.988
72.8,77.1115,0.9254,72.8, 0, 7.5796,116.3871, 38.5202, 77.8669,0,14.988
78.5143,77.1115,0.9254,78.5143, 0, 7.5796,116.3871, 38.5202, 77.8669,0,14.988
84.2286,77.0716,0.9249,84.2286, 0.0002, 7.5806,116.2332, 38.494, 77.7392,0,14.988
89.9429,76.3659,0.9164,89.9429, 0, 7.6015,113.4279, 37.9928, 75.4351,0,14.988
95.6571,73.986,0.8878,95.6571, 0, 7.6411,103.7782, 36.3388, 67.4394,0,14.988
101.3714,67.7219,0.8126,101.3714, 0, 7.6925,80.2227, 32.0472, 48.1755,0,14.988
107.0857,56.6076,0.6793,107.0857, 0, 7.7779,47.3883, 24.453, 22.9353,0,14.988
112.8,0,0,112.8, 0, 2.6499,0, 0, 0,14.988,2.6499
